index,current_power,optimal_power,power_change,error_improvement,optimization_success,X_Start,Y_Start,X_End,Y_end,Z,Overhang,Wall,original_meanLineIntensity,original_meanNumPixels15,original_meanNumPixels30,original_meanNumPixels60,original_Median_meltLength,predicted_meanLineIntensity,predicted_meanNumPixels15,predicted_meanNumPixels30,predicted_meanNumPixels60,predicted_Median_meltLength,target_meanLineIntensity,target_meanNumPixels15,target_meanNumPixels30,target_meanNumPixels60,target_Median_meltLength
67,180.0,183.9283566767161,3.928356676716106,0.0862952840306013,True,0.0,0.05,1.5,0.05,0.55,0.0,1.0,1822143.49438202,5102.67415730337,1272.19101123596,684.033707865169,43.0,1957664.6,6901.586,1293.6962,650.0578,38.955235,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
68,180.0,180.0,0.0,0.18288030344178102,True,0.0,0.1,1.5,0.1,0.55,0.0,1.0,1862426.29213483,5504.03370786517,1330.65168539326,729.348314606742,44.0,1880397.4,5395.8193,1341.5615,722.7158,43.37408,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
69,180.0,180.0,0.0,0.20630545559424843,True,0.0,0.15,1.5,0.15,0.55,0.0,1.0,1839705.62921348,5434.43820224719,1385.34831460674,726.932584269663,44.0,1873476.6,5360.0386,1372.267,734.8464,43.014526,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
70,180.0,173.3765498950929,-6.623450104907107,0.007786598361605016,True,0.0,0.2,1.5,0.2,0.55,0.0,1.0,1894894.57303371,5745.62921348315,1563.5393258427,797.393258426966,48.0,1911214.1,6127.024,1146.4836,599.4869,37.194305,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
71,180.0,180.0,0.0,0.3649820836725218,True,0.0,0.25,1.5,0.25,0.55,0.0,1.0,1876452.16853933,5185.8202247191,1493.13483146067,873.651685393258,41.0,1871215.5,5431.112,1506.4695,802.4391,42.69448,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
72,180.0,189.82725551842577,9.827255518425773,0.033233622277294095,True,0.0,0.3,1.5,0.3,0.55,0.0,1.0,1877257.38202247,5889.76404494382,1767.79775280899,897.943820224719,41.0,1931085.5,6404.9395,1206.115,631.55817,38.21617,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
73,180.0,176.3916163173523,-3.6083836826477125,0.017465894120101765,True,0.0,0.35,1.5,0.35,0.55,0.0,1.0,1861399.4494382,5551.23595505618,1657.49438202247,839.955056179775,44.0,1906800.0,6041.1826,1192.3192,611.8788,37.66966,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
74,180.0,183.45536637197523,3.4553663719752308,0.011562887582755326,True,0.0,0.4,1.5,0.4,0.55,0.0,1.0,1862295.92134831,5714.67415730337,1596.40449438202,793.52808988764,41.0,1925895.9,6582.8716,1087.6705,565.07104,34.327908,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
75,180.0,180.0,0.0,0.599703168733857,True,0.0,0.45,1.5,0.45,0.55,0.0,1.0,1828607.08988764,5304.96629213483,1566.84269662921,888.325842696629,43.0,1868879.8,5552.2935,1648.165,879.7213,41.53259,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
76,180.0,180.0,0.0,0.6604044062424108,True,0.0,0.5,1.5,0.5,0.55,0.0,1.0,1818187.88764045,5107.16853932584,1391.33707865169,718.101123595506,38.0,1868939.8,5578.548,1677.3788,896.9988,41.3342,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
77,180.0,180.0,0.0,0.6427633505960009,True,0.0,1.1,1.5,1.1,0.55,0.0,2.0,1895946.24719101,6405.03370786517,1552.14606741573,789.415730337079,47.0,1902955.9,6135.562,1712.714,873.40356,41.28326,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
78,180.0,180.0000000028631,2.863089321181178e-09,0.6832545234111738,True,0.0,1.15,1.5,1.15,0.55,0.0,2.0,1873677.3258427,5804.95505617978,1935.04494382022,1033.20224719101,38.0,1898221.5,6149.7085,1749.5371,877.13654,40.47068,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
79,180.0,180.0,0.0,0.744465009843907,True,0.0,1.2,1.5,1.2,0.55,0.0,2.0,1882809.35955056,5851.58426966292,1714.57303370787,884.101123595506,39.0,1895895.1,6174.0513,1792.6523,885.476,39.778606,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
80,180.0,178.01542911240492,-1.9845708875950834,0.14386171375723672,True,0.0,1.25,1.5,1.25,0.55,0.0,2.0,1949305.49438202,7035.48314606742,2338.20224719101,1103.29213483146,39.0,1888020.1,5978.7783,1408.9546,702.0102,37.147503,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
81,180.0,167.91232600154473,-12.087673998455273,0.051553160201215316,True,0.0,1.3,1.5,1.3,0.55,0.0,2.0,1860158.40449438,5867.01123595506,1450.92134831461,768.539325842697,35.0,1966441.0,6629.4097,1254.2474,623.00446,39.10498,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
82,180.0,180.0,0.0,0.45132868173635476,True,0.0,1.8,1.5,1.8,0.55,0.0,3.0,1871448.78651685,5813.92134831461,1445.39325842697,791.898876404494,44.0,1873243.9,5752.021,1632.4796,815.4911,39.258076,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
83,180.0,179.671114217504,-0.32888578249600187,0.39661323120173364,True,0.0,1.85,1.5,1.85,0.55,0.0,3.0,1890978.95505618,5792.19101123595,1782.21348314607,928.505617977528,37.0,1871310.2,5705.9165,1600.4418,796.02545,39.6523,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
84,180.0,180.0,0.0,0.462552820055294,True,0.0,1.9,1.5,1.9,0.55,0.0,3.0,1864391.75280899,5432.41573033708,1444.38202247191,750.887640449438,41.0,1872526.4,5713.331,1638.453,814.95746,40.299343,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
85,180.0,180.0,0.0,0.32809442856172427,True,0.0,2.15,1.5,2.15,0.55,0.0,0.0,1901881.76404494,6735.02247191011,1518.73033707865,707.426966292135,42.0,1907041.9,6128.229,1548.6771,781.53326,38.84122,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
86,180.0,180.0,0.0,0.1612922888537141,True,0.0,2.2,1.5,2.2,0.55,0.0,0.0,1931713.25842697,6285.25842696629,1702.49438202247,790.831460674157,29.0,1877428.6,5822.149,1412.3203,718.5281,36.720276,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
88,180.0,180.0,0.0,0.03877976899413425,True,0.0,2.3,1.5,2.3,0.55,0.0,0.0,1867229.5505618,5805.62921348315,1356.3595505618,683.191011235955,34.0,1828299.4,5267.4683,1201.8582,622.1662,34.56713,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
92,180.0,180.0,0.0,0.05999631994306056,True,0.0,2.5,1.5,2.5,0.55,0.0,0.0,1746910.78651685,4431.11235955056,822.134831460674,461.123595505618,30.0,1784844.0,4634.621,1038.0919,557.87195,34.86985,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
93,180.0,180.0,0.0,0.06757964250219772,True,0.0,2.55,1.5,2.55,0.55,0.0,0.0,1765107.60674157,4374.14606741573,869.955056179775,476.674157303371,34.0,1782367.1,4536.935,1033.7184,560.6857,35.311672,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
94,180.0,180.0,0.0,0.06006276549069622,True,0.0,2.6,1.5,2.6,0.55,0.0,0.0,1810091.19101124,4747.59550561798,1034.41573033708,575.056179775281,38.0,1791128.5,4596.5,1061.575,574.8168,35.88151,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
95,180.0,179.0202399020189,-0.9797600979811136,0.03955542688958206,True,0.0,2.65,1.5,2.65,0.55,0.0,0.0,1801022.24719101,4599.78651685393,1108.57303370787,603.47191011236,40.0,1823465.2,4930.3325,1120.7631,600.57764,36.975113,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
97,180.0,180.0,0.0,0.05186712431475221,True,0.0,2.75,1.5,2.75,0.55,0.0,0.0,1804903.49438202,4787.7191011236,1066.59550561798,563.191011235955,36.0,1804905.0,4690.363,1070.6709,576.49426,36.23685,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
98,180.0,180.0,0.0,0.0528825395651502,True,0.0,2.8,1.5,2.8,0.55,0.0,0.0,1785741.57303371,4478.73033707865,986.393258426966,557.595505617978,36.0,1805494.5,4684.8936,1049.83,562.2921,35.947224,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
99,180.0,180.0,0.0,0.05604059968715228,True,0.0,2.85,1.5,2.85,0.55,0.0,0.0,1810902.3258427,4725.04494382022,1063.03370786517,547.314606741573,36.0,1805460.6,4677.842,1028.4175,549.96826,35.70216,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
100,180.0,180.0,0.0,0.060053727363278894,True,0.0,2.9,1.5,2.9,0.55,0.0,0.0,1805874.80898876,4599.97752808989,986.101123595506,545.831460674157,36.0,1804681.9,4671.1587,1009.54236,542.5609,35.326595,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
107,180.0,180.0,0.0,0.31896510952001156,True,0.0,3.25,1.5,3.25,0.55,0.0,0.0,1853462.69662921,5644.60674157303,1585.32584269663,776.955056179775,41.0,1865935.5,5390.193,1500.1108,779.93665,41.53307,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
108,180.0,180.0,0.0,0.7086090836914739,True,0.0,3.3,1.5,3.3,0.55,0.0,0.0,1867372.49438202,5682.91011235955,1648.58426966292,815.168539325843,43.0,1891889.1,5648.34,1722.4125,881.6044,44.67,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
109,180.0,180.0,0.0,1.2565057445647296,True,0.0,3.35,1.5,3.35,0.55,0.0,0.0,1888512.11235955,5632.43820224719,1785.87640449438,915.685393258427,48.0,1916851.1,5921.419,1938.8291,984.8988,47.56024,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
110,180.0,187.39714725533545,7.3971472553354545,0.018980224393267617,True,0.0,0.05,1.5,0.05,0.6,0.0,1.0,1983019.12359551,6351.48314606742,1576.97752808989,851.696629213483,45.0,1930541.4,6531.923,1152.7911,605.6859,37.89466,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
111,180.0,180.0,0.0,0.30263061451336415,True,0.0,0.1,1.5,0.1,0.6,0.0,1.0,2026181.14606742,8251.51685393258,1949.57303370787,774.898876404494,44.0,1981566.4,6642.642,1463.2076,761.04175,44.360764,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
112,180.0,180.0,0.0,0.23687703191340545,True,0.0,0.15,1.5,0.15,0.6,0.0,1.0,1950794.98876404,6646.78651685393,1498.23595505618,682.887640449438,43.0,1957847.8,6302.484,1420.7341,742.39514,43.595047,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
113,180.0,180.0,0.0,0.1367407245266662,True,0.0,0.2,1.5,0.2,0.6,0.0,1.0,1925972.98876404,5534.93258426966,1347.8202247191,722.224719101124,42.0,1919031.2,5795.2705,1329.2039,699.67755,42.37918,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
115,180.0,191.2982526802095,11.298252680209487,0.02449894384481898,True,0.0,0.3,1.5,0.3,0.6,0.0,1.0,1924815.2247191,5670.15730337079,1468.26966292135,777.651685393258,46.0,1927220.1,6337.478,1185.9612,621.93506,38.19054,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
116,180.0,180.0,0.0,0.44997204808255975,True,0.0,0.35,1.5,0.35,0.6,0.0,1.0,1935656.48314607,5579.76404494382,1502.22471910112,819.033707865169,45.0,1902482.5,5716.7407,1563.1327,833.2864,42.810707,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
117,180.0,180.48198939906607,0.48198939906606597,0.3302528552005575,True,0.0,0.4,1.5,0.4,0.6,0.0,1.0,1930259.87640449,5543.25842696629,1707.14606741573,978.202247191011,41.0,1951567.2,6474.6704,1515.2922,781.31555,41.90208,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
118,180.0,180.0,0.0,1.0150636753108506,True,0.0,0.45,1.5,0.45,0.6,0.0,1.0,1915709.30337079,5790.88764044944,1812.15730337079,960.348314606742,42.0,1922265.5,5984.7295,1824.3689,969.4978,44.238388,1908859.5224719099,6004.320224719105,1094.308988764045,563.8539325842695,36.0
