X_Start,Y_Start,X_End,Y_end,Z,Power,meanLineIntensity,varLineIntensity,meanNumPixels15,varNumPixels15,meanNumPixels30,varNumPixels30,meanNumPixels60,varNumPixels60,meanNumPixels90,varNumPixels90,meanNumPixels120,varNumPixels120,medianMLength15,varMLength15,medianMLength30,varMLength30,medianMLength60,varMLength60,medianMLength90,varMLength90,medianMLength120,varMLength120,Overhang,Wall
0,0.25,1.5,0.25,1.35,180,2235115.96629213,26820497752.1011,7169.24719101124,802005.847293156,2050.22471910112,328495.789836568,1203.68539325843,105229.899897855,909.134831460674,66340.0497957099,744.820224719101,46275.8536772216,73,318.39759959142,64,239.520173646578,38,25.1228294177732,30,9.38508682328907,26,5.170582226762,0,0
0,0.3,1.5,0.3,1.35,180,2126508.5505618,5241063336.93207,7377.30337078652,263257.463738509,2039.19101123596,33109.0653728294,1020.20224719101,16206.8904494382,727.370786516854,12518.3268641471,578.112359550562,9264.50995914198,77,193.342185903984,64,110.202247191011,37,23.7328907048008,29,9.49540347293156,25,4.34193054136874,0,0
0,0.35,1.5,0.35,1.35,180,2129154.40449438,7559127812.65271,7116.37078651685,306063.895045965,1878.76404494382,22565.2959652707,924.955056179775,16679.9297752809,678.595505617978,11842.1754341164,560.943820224719,9682.00817160368,74,152.648365679265,63,99.679519918284,34,13.6754341164454,28,10.9599080694586,25,9.31613891726251,0,0
0,0.4,1.5,0.4,1.35,180,2144466.69662921,4601871876.12283,7063.95505617978,396474.747957099,1734.24719101124,36056.3472931563,914.314606741573,6412.03626149132,673.449438202247,3644.36389172625,553.325842696629,2791.65398365679,80,235.577374872319,64,130.836567926456,36,12.6161899897855,29,6.86925434116446,26,4.54136874361593,0,0
0,0.45,1.5,0.45,1.35,170.703125,2075082.86516854,8917908096.09525,6454.3595505618,411065.77834525,1452.91011235955,24156.4918283963,753.842696629213,8656.06588355465,565.988764044944,5935.62487231869,468.123595505618,4867.58682328907,70,164.07379979571,58,103.059499489275,33,7.164708886619,26,3.86082737487232,24,3.29596527068437,0,0
0,0.5,1.5,0.5,1.35,170.703125,2024136.60674157,9715442958.44586,6045.1797752809,491416.717313585,1392.29213483146,10857.5500510725,745.483146067416,5917.57073544433,564.820224719101,4667.85367722165,468.38202247191,4380.76149131767,70,145.534218590398,54,64.5217058222676,32,5.15858018386109,26,3.65347293156282,23,3.62282941777324,0,0
0,0.55,1.5,0.55,1.35,161.40625,1984001.51685393,8257697524.22983,5816.5393258427,484634.955822268,1290.69662921348,23216.6228294178,709.629213483146,6559.30413687436,521.359550561798,5227.05107252298,422.089887640449,4602.65091930541,70,156.91317671093,55,63.126404494382,34,9.24897854954035,27,5,22,4.08094994892748,0,0
0,0.6,1.5,0.6,1.35,161.40625,2061061.56179775,5649999786.74898,6392.16853932584,293806.687180797,1409.83146067416,26906.1871807967,750.808988764045,5898.47446373851,568.089887640449,4334.3100102145,469.044943820225,3968.95250255363,73,182.79417773238,58,119.000255362615,34,11.3421859039837,28,5.45658835546476,25,4.30056179775281,0,0
0,0.65,1.5,0.65,1.35,159.296875,2024800.26966292,4990663749.35827,6133.86516853933,329065.79979571,1453.12359550562,35975.3822778345,765.483146067416,3445.70709908069,577.741573033708,3244.21654749745,474.325842696629,2351.56307456588,75,285.622829417773,59,181.191011235955,34,9.87512768130745,27,5.08682328907048,23,2.55694586312564,0,0
0,0.7,1.5,0.7,1.35,151.40625,2052492.47191011,6894538063.45659,6541.49438202247,444720.661899898,1544.50561797753,65937.2982635342,777.921348314607,10805.3005617978,579.438202247191,4717.45352400409,476.685393258427,3073.96807967314,72,566.343207354443,60,289.888661899898,35,23.3850868232891,28,9.07814096016343,24,5.3429519918284,0,0
0,0.75,1.5,0.75,1.35,151.40625,2117872.37078652,10742873660.8723,7318.39325842697,2644430.28677222,2086.24719101124,595083.415474974,1035.06741573034,53575.4272216547,719.483146067416,12757.8661899898,567.033707865169,4495.30566905005,77,740.990806945863,63,395.638917262513,39,68.8838100102145,30,22.3761491317671,25,9.82890704800817,0,0
0,0.8,1.5,0.8,1.35,149.296875,2088008.62921348,18302817591.1678,7624.76404494382,3121275.84141982,2289.49438202247,915783.139172625,1111.7191011236,165337.908835546,739.719101123595,43931.613381001,566.303370786517,18756.3046475996,81,669.417262512768,58,333.497701736466,35,121.550051072523,27,41.1945863125638,24,21.3615934627171,0,0
0,0.85,1.5,0.85,1.35,141.40625,2127814.33707865,3888141162.68054,8880.77528089888,1417724.88074566,2850.91011235955,323364.10546476,1359.47191011236,39588.2293156282,792.719101123595,6726.02247191011,549.14606741573,3387.4897854954,86,401.776813074566,63,248.997701736466,39,95.4637385086823,28,20.4047497446374,23,10.8125638406537,0,0
0,0.9,1.5,0.9,1.35,141.40625,2063117.56179775,2922234038.90807,8480.1011235955,603065.182839632,2072.78651685393,108573.487997957,904.033707865169,29267.1693054137,625.52808988764,17834.0247701736,483.213483146067,11237.3516343207,63,318.639172625128,47,214.328396322778,27,64.8524004085802,21,21.7474463738509,18,5.79800817160368,0,0
0,0.95,1.5,0.95,1.35,141.40625,1973216.52808989,6598566342.25204,6743.47191011236,721350.683861083,1396.26966292135,70075.6991828396,644.426966292135,14822.1565372829,460.741573033708,6547.64836567926,363.820224719101,4113.67185903984,66,199.217313585291,49,104.032686414709,29,25.8891726251277,23,7.02247191011236,20,4.40679264555669,0,0
0,1,1.5,1,1.35,140.703125,1945552.03370787,4133779590.44203,6332.32584269663,356851.653983657,1185.51685393258,43201.2298263534,575.191011235955,15793.5426455567,419.258426966292,7540.12563840654,334.123595505618,4794.15500510725,63,73.0801838610827,46,34.8094994892748,28,14.2944330949949,23,8.67900919305414,19,6.1570480081716,0,0
0,1.05,1.5,1.05,1.35,148.59375,2047705.23595506,10110686581.9778,7574.01123595506,2114524.53396323,1649.77528089888,296639.585291113,809.157303370787,51533.6340653728,588,24218.3181818182,469.258426966292,14068.9892747702,70,124.364657814096,50,51.8626149131767,31,37.9826353421859,27,19.7645556690501,23,14.5140449438202,0,0
0,1.1,1.5,1.1,1.35,150,2029542.21348315,9598736042.94254,7061.58426966292,761038.404749745,1382.50561797753,72223.7755362615,676.921348314607,18029.8460163432,495.707865168539,10580.2318692543,398.505617977528,8761.20735444331,79,218.316905005107,54,71.9463738508682,32,8.47216547497447,26,5.90628192032686,22,5.22165474974464,0,0
0,1.15,1.5,1.15,1.35,148.59375,1991088.34831461,5443260332.95684,6329.12359550562,286513.609550562,1269.69662921348,26126.6455566905,644.85393258427,16542.1261491318,481.426966292135,9601.58835546476,391.47191011236,6455.11567926456,78,197.85342185904,57,68.8202247191011,32,9.7752808988764,26,6.51762002042901,23,4.66368743615935,0,0
